folderId,seq,favoriteType,color,memo,display1,display2,x,y,lon,lat,key,createdAt,updatedAt
4049789,400109926,PLACE,4,,제로웨이스트샵 플래닛어스,인천 연수구 인천타워대로 257 C동 1층 120호 (송도동),418818,1081946,126.6332892,37.39378185,1996688012,2022-08-22 17:05:10,2022-08-22 17:05:10
4049789,400109731,PLACE,4,재활용 센터 내 제웨샵,계양구 재활용센터,인천 계양구 계양대로205번길 11-3 1층 (계산동),438564,1122908,126.7219382,37.54165374,17020175,2022-08-22 17:04:46,2022-08-22 17:04:46
4049789,398564310,PLACE,4,,아키스페이스 내일상점,부산 동구 홍곡로58번길 5 2층 202호 (수정동),965255,457035,129.041571,35.12448871,1619756953,2022-08-19 11:48:00,2024-09-08 11:49:56
4049789,398533765,PLACE,4,샵앤샵 에코상점,한사랑마을교육공동체사회적협동조합,경기 포천시 소흘읍 호국로 404 라동 104호 (소흘읍 이동교리),529452,1197016,127.1337818,37.80898154,1169505019,2022-08-19 10:44:45,2022-08-19 10:44:45
4049789,398533533,PLACE,4,,퀸비스토어,강원 원주시 황소마을길 7 (명륜동),709337,1065151,127.9448073,37.33004883,39003614,2022-08-19 10:44:10,2022-08-19 10:44:10
4049789,398518216,PLACE,4,,꼭꼭가게,충남 천안시 서북구 불당23로 73-27 133호 (불당동),524465,922720,127.1096832,36.82040643,135732395,2022-08-19 10:13:14,2022-08-19 10:13:14
4049789,398518053,PLACE,4,,제로웨이스트샵 예쓰,대구 수성구 달구벌대로627길 6-11 1층 (매호동),884406,654651,128.7019046,35.84208653,1637069783,2022-08-19 10:12:53,2022-08-19 10:12:53
4049789,398517324,PLACE,4,,그리니지구,경남 창원시 진해구 동진로143번길 7-1 (덕산동),888234,461180,128.7040561,35.14464995,1386987502,2022-08-19 10:11:18,2022-08-19 10:11:18
4049789,398516884,PLACE,4,,은빛날개,경북 김천시 구읍길 150 1층 (교동),746616,735720,128.0960203,36.14137438,22142446,2022-08-19 10:10:22,2022-08-19 10:10:22
4049789,398516519,PLACE,4,,꽃따러가게,경기 의정부시 오목로 196 1층 1-065호 (민락동),521853,1178992,127.0991776,37.74405989,463258576,2022-08-19 10:09:38,2022-08-19 10:09:38
